name,price_per_100g
chicken_breast_skin_off,0.567
chicken_thigh_skin_on,0.550
chicken_thigh_skin_off,0.864
ground_turkey_93_7,1.226
turkey_breast_skin_off,1.466
pork_tenderloin,0.917
pork_chop_center_loin,1.360
pork_shoulder,0.780
bacon,0.911
ground_beef_80_20,1.594
chuck_roast_blade_choice,1.933
top_sirloin_choice,2.632
salmon_atlantic_farmed,2.103
canned_tuna_light_water,0.677
tilapia,0.963
cod_atlantic,2.619
shrimp,1.986
egg_whole_raw,0.273
greek_yogurt_nonfat,0.364
cottage_cheese_2pct,0.423
whey_protein_generic,4.268
whole_milk_vitamin_d,0.088
tofu_firm,0.489
lentils,0.547
black_beans,0.331
chickpeas,0.317
white_rice_enriched,0.148
brown_rice,0.183
oats,0.366
pasta_dry_enriched,0.276
pasta_whole_wheat_dry,0.384
white_bread,0.289
whole_wheat_bread,0.348
white_potato_russet,0.152
sweet_potato,0.414
quinoa,0.798
tortillas_flour,0.399
